question,answer,context
What is speciation ?,"Speciation is the evolution of reproductive isolation among once interbreeding populations i.e., the development of one or more species from an existing species. ","Will geographical isolation be a major factor in the speciation of a selfpollinating plant species? Why or why not?
 3.
 Will geographical isolation be a major factor in the speciation of an organism that reproduces asexually? Why or why not?
 Will geographical isolation be a major factor in the speciation of an organism that reproduces asexually? Why or why not?
 "
List any two factors that could lead to speciation ? ,"Two factors that could lead to speciation are— (i) Genetic drift, (ii) Reproductive isolation.","What factors could lead to the rise of a new species?
 2.
 Will geographical isolation be a major factor in the speciation of a selfpollinating plant species? Why or why not?
 Will geographical isolation be a major factor in the speciation of a selfpollinating plant species? Why or why not?
 3.
 Will geographical isolation be a major factor in the speciation of an organism that reproduces asexually? Why or why not?
 Will geographical isolation be a major factor in the speciation of an organism that reproduces asexually? Why or why not?
 "
What is the only progressive trend seen in evolution ?,The only progressive trend in evolution seems to be that more and more complex body designs have emerged over a period of time.,"Evolution cannot be said to ‘progress’ from ‘lower’ forms to ‘higher’ forms. Rather, evolution seems to have given rise to more complex body designs even while the simpler body designs continue to flourish. Study of the evolution of human beings indicates that all of us belong to a single species that evolved in Africa and spread across the world in stages.
 "
How does creation of variations in a species promote survival ?,Favourable variation helps a species to adapt to change in their environment and they promote survival of the species.,"How does the creation of variations in a species promote survival?
 "
Write the contribution of Charles Darwin in the field of evolution. ,Charles Darwin proposed that evolution of species occurred by natural selection.,"Origin of life on earth Darwin’s theory of evolution tells us how life evolved from simple to more complex forms and Mendel’s experiments give us the mechanism for the inheritance of traits from one generation to the next. But neither tells us anything about how life began on earth in the first place.
 149
 Heredity and Evolution
 "
How was the vegetable kale obtained from cabbage ?,Farmers carried out artificial selection of plants with slightly larger leaves in the wild cabbage and came up with a leafy vegetable called kale.,"Gregor Johann Mendel (1822–1884) Mendel was educated in a monastery and went on to study science and mathematics at the University of Vienna. Failure in the examinations for a teaching certificate did not suppress his zeal for scientific quest. He went back to his monastery and started growing peas. Many others had studied the inheritance of traits in peas and other organisms earlier, but Mendel blended his knowledge of science and mathematics and was the first one to keep count of individuals exhibiting a particular trait in each generation. This helped him to arrive at the laws of inheritance.
 Figure 9.3 Inheritance of traits over two generations
 Mendel used a number of contrasting visible characters of garden peas – round/wrinkled seeds, tall/short plants, white/violet flowers and so on. He took pea plants with different characteristics – a tall plant and a short plant, produced progeny by crossing them, and calculated the percentages of tall or short progeny. In the first place, there were no halfway characteristics in this firstgeneration, or F1 progeny – no ‘medium-height’ plants. All plants were tall. This meant that only one of the parental traits was seen, not some mixture of the two. So the next question was, were the tall plants in the F1 generation exactly the same as the tall plants of the parent generation? Mendelian experiments test this by getting both the parental plants and these F1 tall plants to reproduce by self-pollination. The progeny of the parental plants are, of course, all tall. However, the second-generation, or F2, progeny of the F1 tall plants are not all tall. Instead, one quarter of them are short. This indicates that both the tallness and shortness traits were inherited in the F1 plants, but only the tallness trait was expressed. This led Mendel to propose that two copies of factor (now called genes) controlling traits are present in sexually reproducing organism. These two may be identical, or may be different, depending on the parentage. A pattern of inheritance can be worked out with this assumption, as shown in Fig. 9.3.
 Figure 9.13 Evolution of wild cabbage!
 "
What is the main reason for evolution according to Darwin ?,"According to Darwin, evolution took place due to natural selection.","Origin of life on earth Darwin’s theory of evolution tells us how life evolved from simple to more complex forms and Mendel’s experiments give us the mechanism for the inheritance of traits from one generation to the next. But neither tells us anything about how life began on earth in the first place.
 149
 Heredity and Evolution
 "
One of the examples of two analogous organs can be the wing of parrot and 		(i) flipper of whale (ii) foreleg of horse 		(iii) front leg of frog (iv) wings of housefly.,(iv) Wings of parrot and wings of housefly have similar appearance and perform similar functions. 1,"birds and bats, for example (Fig. 9.9)? Birds and bats have wings, but squirrels and lizards do not. So are birds and bats more closely related to each other than to squirrels or lizards? Before we jump to this conclusion, let us look at the wings of birds and bats more Figure 9.9 closely. When we do that, we find that the Analogous organs – The wing of a bat and the wings of bats are skin folds stretched mainly wing of a bird between elongated fingers. But the wings of birds are a feathery covering all along the arm. The designs of the two wings, their structure and components, are thus very different. They look similar because they have a common use for flying, but their origins are not common. This makes them analogous characteristics, rather than homologous characteristics. It would now be interesting to think about whether bird arms and bat arms should be considered homologous or analogous!
 "
"In evolutionary terms, can we say which among bacteria, spiders, fish and chimpanzee have a ‘better’ body design ? Why or why not ?","In evolutionary terms, chimpanzee has the most complex body design but it will be wrong to say that they have a better body design as all the organisms are very well adapted to their environment and have their body designs evolved according to their body adaptation.","In evolutionary terms, can we say which among bacteria, spiders, fish and chimpanzees have a ‘better’ body design? Why or why not?
 "
70% of individuals in a population of hydra show long tentacles whereas 10% of individuals in the same population show short tentacles. Which trait is likely to have arisen earlier ?,Long tentacles.,"Long straight conductor
 "
Why is respiration considered as exothermic reaction ? ,Respiration is considered as exothermic reaction because heat is released along with the formation of products.,"In simple language we can say that when two or more substances (elements or compounds) combine to form a single product, the reactions are called combination reactions. In Activity 1.4, we also observed that a large amount of heat is evolved. This makes the reaction mixture warm. Reactions in which heat is released along with the formation of products are called exothermic chemical reactions. Other examples of exothermic reactions are – (i) Burning of natural gas CH4(g) + 2O2 (g) → CO2 (g) + 2H2O (g) (ii)
 (1.17)
 Do you know that respiration is an exothermic process?
 Do you know that respiration is an exothermic process?
 "
"Why are decomposing reactions called the opposite of combination reactions ? [Board Term-I Set-23, 2011 (NCERT)]","In combination reactions, two substances combine to form one compound and in decomposition reactions, a compound breaks down into two or more substances, so they are opposite to each other.","A complete chemical equation represents the reactants, products and their physical states symbolically. A chemical equation is balanced so that the numbers of atoms of each type involved in a chemical reaction are the same on the reactant and product sides of the equation. Equations must always be balanced. In a combination reaction two or more substances combine to form a new single substance. Decomposition reactions are opposite to combination reactions. In a decomposition reaction, a single substance decomposes to give two or more substances. Reactions in which heat is given out along with the products are called exothermic reactions. Reactions in which energy is absorbed are known as endothermic reactions. When an element displaces another element from its compound, a displacement reaction occurs. Two different atoms or groups of atoms (ions) are exchanged in double displacement reactions. Precipitation reactions produce insoluble salts. Reactions also involve the gain or loss of oxygen or hydrogen by substances. Oxidation is the gain of oxygen or loss of hydrogen. Reduction is the loss of oxygen or gain of hydrogen.
 "
Why is photosynthesis endothermic reaction ? considered an ,Because heat is absorbed in this process. (),"+ Heat
 "
Why we store silver chloride in dark coloured bottles ? ,Dark coloured bottles interrupt the path of light such that light cannot reach silver chloride in the bottles and its decomposition is prevented.,"Place a strong source (S) of white light at the focus of a converging lens (L1). This lens provides a parallel beam of light. Allow the light beam to pass through a transparent glass tank (T) containing clear water. Allow the beam of light to pass through a circular hole (c) made in a cardboard. Obtain a sharp image of the circular hole on a screen (MN) using a second converging lens (L2), as shown in Fig. 11.11. Dissolve about 200 g of sodium thiosulphate (hypo) in about 2 L of clean water taken in the tank. Add about 1 to 2 mL of concentrated sulphuric acid to the water. What do you observe?
 "
State the type of chemical reaction used for the extraction of metals from their naturally occurring chlorides or oxides. ,Electrolytic reduction.,"Electrolysis
 Mg Al Zn Fe
 Reduction using carbon
 "
"Why is hydrogen peroxide kept in coloured bottles ? [Board Term-I Set-36, Set (A1), 2011, 2010]","Hydrogen peroxide decomposes into H2O and O2 in the presence of sunlight and hence to prevent decomposition, they are kept in coloured bottles. 2H2O2 Sunlight → 2H2O + O2","NaOH + CH3COOH → CH3COONa + H2O How does ethanoic acid react with carbonates and hydrogencarbonates? Let us perform an activity to find out.
 "
Why do Copper vessel lose shine when exposed to air ? ,When Copper vessel is exposed to air it losses it shine due to corrosion because a green coating is deposited on Copper.,"Silver articles become black after some time when exposed to air. This is because it reacts with sulphur in the air to form a coating of silver sulphide. Copper reacts with moist carbon dioxide in the air and slowly loses its shiny brown surface and gains a green coat. This green substance is basic copper carbonate. Iron when exposed to moist air for a long time acquires a coating of a brown flaky substance called rust. Let us find out the conditions under which iron rusts.
 "
A shiny brown coloured element ‘X’ on heating in air becomes black in colour. Name the element ‘X’ and the black coloured compound formed. ,Element ‘X’ is Copper and the black coloured compound is Cupric oxide Cu2O.,"Figure 1.10 Oxidation of copper to copper oxide
 Heat a china dish containing about 1 g copper powder (Fig. 1.10). What do you observe?
 The surface of copper powder becomes coated with black copper(II) oxide. Why has this black substance formed? This is because oxygen is added to copper and copper oxide is formed. Heat (1.28) 2Cu + O2  → 2CuO If hydrogen gas is passed over this heated material (CuO), the black coating on the surface turns brown as the reverse reaction takes place and copper is obtained.
 The surface of copper powder becomes coated with black copper(II) oxide. Why has this black substance formed? This is because oxygen is added to copper and copper oxide is formed. Heat (1.28) 2Cu + O2  → 2CuO If hydrogen gas is passed over this heated material (CuO), the black coating on the surface turns brown as the reverse reaction takes place and copper is obtained.
 "
"N2 + 3H2  → 2NH3, name the type of reaction. ",It is a combination reaction.,"Let us discuss some more examples of combination reactions. (i) Burning of coal C(s) + O2(g) → CO2(g) (ii)
 "
Why do silver articles become black after sometime when exposed to air ? ,They get tarnished by reacting with atmospheric air to form silver sulphide.,"Silver articles become black after some time when exposed to air. This is because it reacts with sulphur in the air to form a coating of silver sulphide. Copper reacts with moist carbon dioxide in the air and slowly loses its shiny brown surface and gains a green coat. This green substance is basic copper carbonate. Iron when exposed to moist air for a long time acquires a coating of a brown flaky substance called rust. Let us find out the conditions under which iron rusts.
 "
"Give reasons why do chips manufacturers usually flush bags of chips with gas such as nitrogen ? [Board Term-I Set (12), 2011] ",To prevent the oil and fats of the chips from being oxidized or become rancid.,"1.3.2 Rancidity Have you ever tasted or smelt the fat/oil containing food materials left for a long time? When fats and oils are oxidised, they become rancid and their smell and taste change. Usually substances which prevent oxidation (antioxidants) are added to foods containing fats and oil. Keeping food in air tight containers helps to slow down oxidation. Do you know that chips manufacturers usually flush bags of chips with gas such as nitrogen to prevent the chips from getting oxidised ?
 "
Identify the reducing agent in the following reaction : → 2Fe + 3CO2 Fe2O3 + 3CO  ,"CO i.e., carbon monoxide is the reducing agent in the given reaction, as it removes oxygen from Fe2O3 and causes its reduction.","The metal oxides are then reduced to the corresponding metals by using suitable reducing agents such as carbon. For example, when zinc oxide is heated with carbon, it is reduced to metallic zinc. ZnO(s) + C(s) → Zn(s) + CO(g) You are already familiar with the process of oxidation and reduction explained in the first Chapter. Obtaining metals from their compounds is also a reduction process. Besides using carbon (coke) to reduce metal oxides to metals, sometimes displacement reactions can also be used. The highly reactive metals such as sodium, calcium, aluminium, etc., are used as reducing 51
 "
Write a chemical equation of double displacement reaction.  ,Double displacement Reaction— Na2SO4 (aq) + BaCl2(aq) → BaSO4(s) + 2NaCl (aq),"1.2.4 Double Displacement Reaction Activity 1.10 n n n n
 "
What happens when milk is left open at room temperature during summers ? ,When milk is left open at room temperature during Summers it gets oxidised become rancid and it smell and taste changes.,"milk is left at room temperature during summers. an iron tawa/pan/nail is left exposed to humid atmosphere. grapes get fermented. food is cooked. food gets digested in our body. we respire.
 "
"What changes do you observe in the iron nails and colour of copper sulphate solution, if iron nails are dipped in CuSO4 solution for 15 minutes ? ","The Iron nail become brownish in colour and the blue colour of Copper sulphate solution fade, because Iron has displaced or removed another element, copper form Copper sulphate solution. 1","Figure 1.8 (b) Iron nails and copper sulphate solutions compared before and after the experiment
 Why does the iron nail become brownish in colour and the blue colour of copper sulphate solution fades? The following chemical reaction takes place in this Activity– Fe(s) + CuSO4(aq) → (Copper sulphate)
 Why does the iron nail become brownish in colour and the blue colour of copper sulphate solution fades? The following chemical reaction takes place in this Activity– Fe(s) + CuSO4(aq) → (Copper sulphate)
 "
What is ecosystem ?  Or Define ecosystem. ,Ecosystem is the functional unit of the environment comprising of the living and nonliving components.  1,"-SYSTEM — WHA 15.1 ECO WHATT ARE ITS COMPONENTS? ECO-SYSTEM All organisms such as plants, animals, microorganisms and human beings as well as the physical surroundings interact with each other and maintain a balance in nature. All the interacting organisms in an area together with the non-living constituents of the environment form an ecosystem. Thus, an ecosystem consists of biotic components comprising living organisms and abiotic components comprising physical factors like temperature, rainfall, wind, soil and minerals. For example, if you visit a garden you will find different plants, such as grasses, trees; flower bearing plants like rose, jasmine, sunflower; and animals like frogs, insects and birds. All these living organisms interact with each other and their growth, reproduction and other activities are affected by the abiotic components of ecosystem. So a garden is an ecosystem. Other types of ecosystems are forests, ponds and lakes. These are natural ecosystems while gardens and crop-fields are humanmade (artificial) ecosystems.
 "
"List two main components of our environment. [Board Term II, Set (2022) 2012]",Abiotic and biotic components. ,"-SYSTEM — WHA 15.1 ECO WHATT ARE ITS COMPONENTS? ECO-SYSTEM All organisms such as plants, animals, microorganisms and human beings as well as the physical surroundings interact with each other and maintain a balance in nature. All the interacting organisms in an area together with the non-living constituents of the environment form an ecosystem. Thus, an ecosystem consists of biotic components comprising living organisms and abiotic components comprising physical factors like temperature, rainfall, wind, soil and minerals. For example, if you visit a garden you will find different plants, such as grasses, trees; flower bearing plants like rose, jasmine, sunflower; and animals like frogs, insects and birds. All these living organisms interact with each other and their growth, reproduction and other activities are affected by the abiotic components of ecosystem. So a garden is an ecosystem. Other types of ecosystems are forests, ponds and lakes. These are natural ecosystems while gardens and crop-fields are humanmade (artificial) ecosystems.
 "
List two biotic components of an ecosystem . ,Living Organism — Plants and Animals. (),"-SYSTEM — WHA 15.1 ECO WHATT ARE ITS COMPONENTS? ECO-SYSTEM All organisms such as plants, animals, microorganisms and human beings as well as the physical surroundings interact with each other and maintain a balance in nature. All the interacting organisms in an area together with the non-living constituents of the environment form an ecosystem. Thus, an ecosystem consists of biotic components comprising living organisms and abiotic components comprising physical factors like temperature, rainfall, wind, soil and minerals. For example, if you visit a garden you will find different plants, such as grasses, trees; flower bearing plants like rose, jasmine, sunflower; and animals like frogs, insects and birds. All these living organisms interact with each other and their growth, reproduction and other activities are affected by the abiotic components of ecosystem. So a garden is an ecosystem. Other types of ecosystems are forests, ponds and lakes. These are natural ecosystems while gardens and crop-fields are humanmade (artificial) ecosystems.
 "
List two man–made ecosystems.  ,Garden and pond are man–made ecosystems.½+½,"-SYSTEM — WHA 15.1 ECO WHATT ARE ITS COMPONENTS? ECO-SYSTEM All organisms such as plants, animals, microorganisms and human beings as well as the physical surroundings interact with each other and maintain a balance in nature. All the interacting organisms in an area together with the non-living constituents of the environment form an ecosystem. Thus, an ecosystem consists of biotic components comprising living organisms and abiotic components comprising physical factors like temperature, rainfall, wind, soil and minerals. For example, if you visit a garden you will find different plants, such as grasses, trees; flower bearing plants like rose, jasmine, sunflower; and animals like frogs, insects and birds. All these living organisms interact with each other and their growth, reproduction and other activities are affected by the abiotic components of ecosystem. So a garden is an ecosystem. Other types of ecosystems are forests, ponds and lakes. These are natural ecosystems while gardens and crop-fields are humanmade (artificial) ecosystems.
 "
What is meant by biological magnification ? ,Biological magnification is the process of increasing the concentration of harmful chemicals like pesticides from first trophic level to the last trophic level in a food chain.,"and animals. This is one of the ways in which they enter the food chain. As these chemicals are not degradable, these get accumulated progressively at each trophic level. As human beings occupy the top level in any food chain, the maximum concentration of these chemicals get accumulated in our bodies. This phenomenon is known as biological magnification. This is the reason why our food grains such as wheat and rice, vegetables and fruits, and even meat, contain varying amounts of pesticide residues. They cannot always be removed by washing or other means.
 "
DDT has entered food chain. Which food habit is safer-vegetarian or non-vegetarian ?,"Vegetarian habit is safer. Being closer to producers, less DDT will accumulate in our body. Bio magnification leads to higher level of DDT in higher trophic levels.","What changes can you make in your habits to become more environmentfriendly?
 "
List two natural ecosystems. ,Natural ecosystem—Forest/Lake/Pond/River. (Any two) ½ + ½ ,"-SYSTEM — WHA 15.1 ECO WHATT ARE ITS COMPONENTS? ECO-SYSTEM All organisms such as plants, animals, microorganisms and human beings as well as the physical surroundings interact with each other and maintain a balance in nature. All the interacting organisms in an area together with the non-living constituents of the environment form an ecosystem. Thus, an ecosystem consists of biotic components comprising living organisms and abiotic components comprising physical factors like temperature, rainfall, wind, soil and minerals. For example, if you visit a garden you will find different plants, such as grasses, trees; flower bearing plants like rose, jasmine, sunflower; and animals like frogs, insects and birds. All these living organisms interact with each other and their growth, reproduction and other activities are affected by the abiotic components of ecosystem. So a garden is an ecosystem. Other types of ecosystems are forests, ponds and lakes. These are natural ecosystems while gardens and crop-fields are humanmade (artificial) ecosystems.
 "
List two biotic components of a biosphere. ,"Plants, animals, micro-organisms. (Any two) ½ + ½ ","-SYSTEM — WHA 15.1 ECO WHATT ARE ITS COMPONENTS? ECO-SYSTEM All organisms such as plants, animals, microorganisms and human beings as well as the physical surroundings interact with each other and maintain a balance in nature. All the interacting organisms in an area together with the non-living constituents of the environment form an ecosystem. Thus, an ecosystem consists of biotic components comprising living organisms and abiotic components comprising physical factors like temperature, rainfall, wind, soil and minerals. For example, if you visit a garden you will find different plants, such as grasses, trees; flower bearing plants like rose, jasmine, sunflower; and animals like frogs, insects and birds. All these living organisms interact with each other and their growth, reproduction and other activities are affected by the abiotic components of ecosystem. So a garden is an ecosystem. Other types of ecosystems are forests, ponds and lakes. These are natural ecosystems while gardens and crop-fields are humanmade (artificial) ecosystems.
 "
We often use the word environment. What does it mean ? ,"It is the physical, chemical and biological conditions of the region.  1","Human activities have an impact on the environment.
 "
Name two decomposers operating in our ecosystem ,Bacteria and Fungi.,"We have seen in earlier classes that organisms can be grouped as producers, consumers and decomposers according to the manner in which they obtain their sustenance from the environment. Let us recall what we have learnt through the self sustaining ecosystem created by us above. Which organisms can make organic compounds like sugar and starch from inorganic substances using the radiant energy of the Sun in the presence of chlorophyll? All green plants and certain bacteria which can produce food by photosynthesis come under this category and are called the producers. Organisms depend on the producers either directly or indirectly for their sustenance? These organisms which consume the food produced, either directly from producers or indirectly by feeding on other consumers are the consumers. Consumers can be classed variously as herbivores, carnivores, omnivores and parasites. Can you give examples for each of these categories of consumers? n Imagine the situation where you do not clean the aquarium and some fish and plants have died. Have you ever thought what happens when an organism dies? The microorganisms, comprising bacteria and fungi, break-down the dead remains and waste products of organisms. These microorganisms are the decomposers as they break-down the complex organic substances into simple inorganic substances that go into the soil and are used up once more by the plants. What will happen to the garbage, and dead animals and plants in their absence? Will the natural replenishment of the soil take place, even if decomposers are not there?
 "
Why are green plants called producers ? ,Because the green plants prepare food by photosynthesis by using solar energy. ,"Let us now see what actually happens during the process of photosynthesis. The following events occur during this process – (i) Absorption of light energy by chlorophyll. (ii) Conversion of light energy to chemical energy and splitting of water molecules into hydrogen and oxygen. (iii) Reduction of carbon dioxide to carbohydrates. These steps need not take place one after the other immediately. For example, desert plants take up carbon dioxide at night and prepare an intermediate which is acted upon by the energy absorbed by the chlorophyll during the day. Let us see how each of the components of the above reaction are necessary for photosynthesis. If you carefully observe a cross-section of a leaf under the microscope (shown in Fig. 6.1), you will notice that some cells contain green dots. These green dots are cell organelles called chloroplasts which contain chlorophyll. Let us do an activity which demonstrates that chlorophyll is essential for photosynthesis.
 "
"In the following food chain, grass provides 4000 J of energy to the grasshopper. Grass, Grasshopper, Frogs, Snakes How much energy will be available to snakes and frogs ? [Board Term II, Set (2015), 2012]","Grass → Grasshopper → Frogs → Snakes (4000 J) (400 J)		 (40 J) (4 J) So, for snakes and frogs, 4 J and 40 J energy will be available by 10% law respectively. ","14.3.4 Nuclear Energy
 "
"In the following food chain, 100 J of energy is available to the lion. How much energy was available to the producer ?  Plants → Deer → Lion","Plants are producers — 10,000 J.","The producers make the energy from sunlight available to the rest of the ecosystem.
 "
The first trophic level in a food chain is always a green plant. Why ?  ,Green plants are producers. The first trophic level in a food chain is a producers i.e. those organisms which produce food by photosynthesis. ,"In Activity 15.4 we have formed a series of organisms feeding on one another. This series or organisms taking part at various biotic levels form a food chain (Fig. 15.1). Each step or level of the food chain forms a trophic level. The autotrophs or the producers are at the first trophic level. They fix up the solar energy and make it available for heterotrophs or the consumers. The herbivores or the primary consumers come at the second, small carnivores or the secondary consumers at the third and larger carnivores or the tertiary consumers form the fourth trophic level (Fig. 15.2). We know that the food we eat acts as a fuel to provide us energy to do work. Thus the interactions among various components of the environment involves flow of energy from one component of the system to another. As we have studied, the autotrophs capture the energy present in sunlight and convert it into chemical energy. This energy supports all the activities of the living world. From autotrophs, the energy goes to the heterotrophs and decomposers. However, as we saw in the previous Chapter on ‘Sources of Energy’, when one form of energy is changed to another, some energy is lost to the environment in forms which cannot be used again. The flow of energy between various components of the environment has been extensively studied and it has been found that – The green plants in a terrestrial ecosystem capture about 1% of the energy of sunlight that falls on their leaves and convert it into food energy. When green plants are eaten by primary consumers, a great deal of energy is lost as heat to the environment, some amount goes into digestion and in doing work and the rest goes towards growth and reproduction. An average of 10% of the food eaten is turned into its own body and made available for the next level of consumers. Therefore, 10% can be taken as the average value for the amount of organic matter that is present at each step and reaches the next level of consumers. Since so little energy is available for the next level of consumers, food chains generally consist of only three or four steps. The loss of energy at each step is so great that very little usable energy remains after four trophic levels. There are generally a greater number of individuals at the lower trophic levels of an ecosystem, the greatest number is of the producers. The length and complexity of food chains vary greatly. Each organism is generally eaten by two or more other kinds of organisms which in turn are eaten by several other organisms. So instead of a straight line food chain, the relationship can be shown as a series of branching lines called a food web (Fig. 15.3).
 The producers make the energy from sunlight available to the rest of the ecosystem.
 n
 There is a loss of energy as we go from one trophic level to the next, this limits the number of trophic levels in a food-chain.
 "
Why do producers always occupy the first ecosystem ? ,"Because a lake is a self-sustaining system.  Detailed Answer : A lake ecosystem includes biotic (living) plants, animals and micro-organisms, as wll as abiotic (non-living) physical and chemical interactions. 1","-SYSTEM — WHA 15.1 ECO WHATT ARE ITS COMPONENTS? ECO-SYSTEM All organisms such as plants, animals, microorganisms and human beings as well as the physical surroundings interact with each other and maintain a balance in nature. All the interacting organisms in an area together with the non-living constituents of the environment form an ecosystem. Thus, an ecosystem consists of biotic components comprising living organisms and abiotic components comprising physical factors like temperature, rainfall, wind, soil and minerals. For example, if you visit a garden you will find different plants, such as grasses, trees; flower bearing plants like rose, jasmine, sunflower; and animals like frogs, insects and birds. All these living organisms interact with each other and their growth, reproduction and other activities are affected by the abiotic components of ecosystem. So a garden is an ecosystem. Other types of ecosystems are forests, ponds and lakes. These are natural ecosystems while gardens and crop-fields are humanmade (artificial) ecosystems.
 "
"Name the two abiotic components of ecosystem. [Board Term II, Set (2008), 2012]","Temperature, rainfall, soil, minerals. (Any two)½+½ ","What is the pH of the soil in your backyard? Plants require a specific pH range for their healthy growth. To find out the pH required for the healthy growth of a plant, you can collect the soil from various places and check the pH in the manner described below in Activity 2.12. Also, you can note down which plants are growing in the region from which you have collected the soil.
 Activity 2.12 n n n n n
 Put about 2 g soil in a test tube and add 5 mL water to it. Shake the contents of the test tube. Filter the contents and collect the filtrate in a test tube. Check the pH of this filtrate with the help of universal indicator paper. What can you conclude about the ideal soil pH for the growth of plants in your region?
 (i) Mineral
 "
"Write one negative effect, on the environment, of affluent life style of few persons of a society. ",Use of excessive non-biodegradable material in packaging Excessive use of natural resources like coal and petroleum which causes pollution. Affluent lifestyle results in generation of excessive waste materials. (Any one) 1 ,"Improvements in our life-style have resulted in greater amounts of waste material generation. Changes in attitude also have a role to play, with more and more things we use becoming disposable. Changes in packaging have resulted in much of our waste becoming nonbiodegradable. What do you think will be the impact of these on our environment?
 The waste we generate may be biodegradable or non-biodegradable.
 n
 The disposal of the waste we generate is causing serious environmental problems.
 "
What are the various steps in a food chain called ? ,Because producers (plants) have the ability to trap solar energy with the help of chlorophyll.  1,"The producers make the energy from sunlight available to the rest of the ecosystem.
 "
"Consider a food chain of the following : fish, crab, plankton, shark. Arrange the above chain in proper order of trophic level. [Board Term II, Set (2013), 2012]","Plankton, crab, fish, shark. ","Grass, fish and goat
 "
"Name the organism (s) belonging to fourth trophic level in the food chain comprising of : Snakes, Insects, Frogs, Plants, Hawks. [Board Term II, Set (2007), 2012]",Hawks.  1,"Hexane
 "
"Consider a food chain consisting of : Wheat, Rat, Snakes, Peacock. What will happen if all the snakes are killed ? [Board Term II, Set (2018), 2012]","If all the snakes of food chain are killed, the peacocks belonging to the next level will also die. Also the population of rats in the preceding level will highly increase. ","From the energy flow diagram (Fig. 15.4), two things become clear. Firstly, the flow of energy is unidirectional. The energy that is captured by the autotrophs does not revert back to the solar input and the energy which passes to the herbivores does not come back to autotrophs. As it moves progressively through the various trophic levels it is no longer available to the previous level. Secondly, the energy available at each trophic level gets diminished progressively due to loss of energy at each level. Another interesting aspect of food chain is how unknowingly some harmful chemicals enter our bodies through the food chain. You have read in Class IX how water gets polluted. One of the reasons is the use of several pesticides and other chemicals to protect our crops from diseases and pests. These chemicals are either washed down into the soil or into the water bodies. From the soil, these are absorbed by the plants along with water and minerals, and from the water bodies these are taken up by aquatic plants Figure 15.3 Food web, consisting of many food chains
 "
"In a food chain of frog, grass, insect and snake assign trophic level to frog. ",Grass ¾® Insect ¾® Frog ¾® Snake Frog is 3rd trophic level.  ,"Figure 15.2 Trophic levels
 "
"Mention the role of micro-organisms like bacteria and fungi. [Board Term II, Set (2008), 2012]",They break down the dead remains and waste product of organisms. ,"CRETION 6.5 EX EXCRETION We have already discussed how organisms get rid of gaseous wastes generated during photosynthesis or respiration. Other metabolic activities generate nitrogenous materials which need to be removed. The biological process involved in the removal of these harmful metabolic wastes from the body is called excretion. Different organisms use varied strategies to do this. Many unicellular organisms remove these wastes by simple diffusion from the body surface into the surrounding water. As we have seen in other processes, complex multi-cellular organisms use specialised organs to perform the same function.
 "
"Mention the role of decomposers in our ecosystem. [Board Term II, Set (2013), 2012]",These micro-organisms break down the complex organic substances into simple inorganic substances that go into the soil and are used once more by plants.  1,"6.4.2 Transportation in Plants We have discussed earlier how plants take in simple compounds such as CO2 and photosynthesise energy stored in their chlorophyll-containing organs, namely leaves. The other kinds of raw materials needed for building plant bodies will also have to be taken up separately. For plants, the soil is the nearest and richest source of raw materials like nitrogen, phosphorus and other minerals. The absorption of these substances therefore occurs through the part in contact with the soil, namely roots. If the distances between soil-contacting organs and chlorophyllcontaining organs are small, energy and raw materials can easily diffuse to all parts of the plant body. But if these distances become large because of changes in plant body design, diffusion processes will not be sufficient to provide raw material in leaves and energy in roots. A proper system of transportation is therefore essential in such situations. Energy needs differ between different body designs. Plants do not move, and plant bodies have a large proportion of dead cells in many tissues. As a result, plants have low energy needs, and can use relatively slow transport systems. The distances over which transport systems have to operate, however, can be very large in plants such as very tall trees. Plant transport systems will move energy stores from leaves and raw materials from roots. These two pathways are constructed as independently organised conducting tubes. One, the xylem moves water and minerals obtained from the soil. The other, phloem transports products of photosynthesis from the leaves where they are synthesised to other parts of the plant. We have studied the structure of these tissues in detail in Class IX. Transport of water In xylem tissue, vessels and tracheids of the roots, stems and leaves are interconnected to form a continuous system of water-conducting channels reaching all parts of the plant. At the roots, cells in contact with the soil actively take up ions. This creates a difference in the concentration of these ions between the root and the soil. Water, therefore,
 "
What will happen if we kill all the organisms in one trophic level ? ,"If we kill all the organisms in one trophic level, the population of organisms in previous trophic level will increase.","4. What will happen if we kill all the organisms in one trophic level? 5. Will the impact of removing all the organisms in a trophic level be different for different trophic levels? Can the organisms of any trophic level be removed without causing any damage to the ecosystem? 6. What is biological magnification? Will the levels of this magnification be different at different levels of the ecosystem? 7. What are the problems caused by the non-biodegradable wastes that we generate? 8. If all the waste we generate is biodegradable, will this have no impact on the environment? 9. Why is damage to the ozone layer a cause for concern? What steps are being taken to limit this damage?
 "
