question,answer,context
Name two cattle breeds which show excellent resistance of diseases.,Red Sindhi and Sahiwal.,"FROM BLUE /
 BLACK INK?
 the kharif season from the month of June to October, and some of the crops are grown in the winter season, called the rabi season from November to April. Paddy, soyabean, pigeon pea, maize, cotton, green gram and black gram are kharif crops, whereas wheat, gram, peas, mustard, linseed are rabi crops. In India there has been a four times increase in the production of food grains from 1952 to 2010 with only 25% increase in the cultivable land area. How has this increase in production been achieved? If we think of the practices involved in farming, we can see that we can divide it into three stages. The first is the choice of seeds for planting. The second is the nurturing of the crop plants. The third is the protection of the growing and harvested crops from loss. Thus, the major groups of activities for improving crop yields can be classified as: • Crop variety improvement • Crop production improvement • Crop protection management.
 "
Name any two signs of a healthy animal.,A healthy animal feeds regularly and has a normal posture.,"Healthy person
 "
"Name the internal parasites which affect stomach, intestine and liver in cattle.","Worms, Liverfluke.","Liverfluke
 Planaria
 Tape worm
 "
What is the purpose of poultry farming ?,To raise domestic foul for egg production and chicken meat.,"EGG AND BROILER PRODUCTION Broiler chickens are fed with vitamin-rich supplementary feed for good growth rate and better feed efficiency. Care is taken to avoid mortality and to maintain feathering and carcass quality. They are produced as broilers and sent to market for meat purposes. For good production of poultry birds, good management practices are important. These include maintenance of temperature and hygienic conditions in housing and poultry feed, as well as prevention and control of diseases and pests. The housing, nutritional and environmental requirements of broilers are somewhat different from those of egg layers. IMPROVEMENT
 IN
 The ration (daily food requirement) for broilers is protein rich with adequate fat. The level of vitamins A and K is kept high in the poultry feeds. Poultry fowl suffer from a number of diseases caused by virus, bacteria, fungi, parasites, as well as from nutritional deficiencies. These necessitate proper cleaning, sanitation, and spraying of disinfectants at regular intervals. Appropriate vaccination can prevent the occurrence of infectious diseases and reduce loss of poultry during an outbreak of disease.
 "
What is fish farming called ?,Culture fishery.,"15.2.3 FISH PRODUCTION Fish is a cheap source of animal protein for our food. Fish production includes the finned true fish as well as shellfish such as prawns and molluscs. There are two ways of obtaining fish. One is from natural resources, which is called capture fishing. The other way is by fish farming, which is called culture fishery. The water source of the fish can be either seawater or fresh water, such as in rivers and ponds. Fishing can thus be done both by capture and culture of fish in marine and freshwater ecosystems.
 15.2.3 (i) MARINE FISHERIES India’s marine fishery resources include 7500 km of coastline and the deep seas 211
 As marine fish stocks get further depleted, the demand for more fish can only be met by such culture fisheries, a practice called mariculture.
 15.2.3 (ii) INLAND FISHERIES Fresh water resources include canals, ponds, reservoirs and rivers. Brackish water resources, where seawater and fresh water mix together, such as estuaries and lagoons are also important fish reservoirs. While capture fishing is also done in such inland water bodies, the yield is not high. Most fish production from these resources is through aquaculture. Fish culture is sometimes done in combination with a rice crop, so that fish are grown in the water in the paddy field. More intensive fish farming can be done in composite fish culture systems. Both local and imported fish species are used in such systems.
 "
What is meant by latent heat of fusion ? ,The amount of heat energy that is required to change 1 kg of a solid into liquid at atmospheric pressure at its melting point is known as the latent heat of fusion. ,"On increasing the temperature of solids, the kinetic energy of the particles increases. Due to the increase in kinetic energy, the particles start vibrating with greater speed. The energy supplied by heat overcomes the forces of attraction between the particles. The particles leave their fixed positions and start moving more freely. A stage is reached when the solid melts and is converted to a liquid. The minimum temperature at which a solid melts to become a liquid at the atmospheric pressure is called its melting point. The melting point of a solid is an indication of the strength of the force of attraction between its particles. The melting point of ice is 273.15 K*. The process of melting, that is, change of solid state into liquid state is also known as fusion. When a solid melts, its temperature remains the same, so where does the heat energy go? You must have observed, during the experiment of melting, that the temperature of the system does not change after the melting point is reached, till all the ice melts. This happens even though we continue to heat the beaker, that is, we continue to supply heat. This heat gets used up in changing the
 state by overcoming the forces of attraction between the particles. As this heat energy is absorbed by ice without showing any rise in temperature, it is considered that it gets hidden into the contents of the beaker and is known as the latent heat. The word latent means hidden. The amount of heat energy that is required to change 1 kg of a solid into liquid at atmospheric pressure at its melting point is known as the latent heat of fusion. So, particles in water at 00 C (273 K) have more energy as compared to particles in ice at the same temperature. When we supply heat energy to water, particles start moving even faster. At a certain temperature, a point is reached when the particles have enough energy to break free from the forces of attraction of each other. At this temperature the liquid starts changing into gas. The temperature at which a liquid starts boiling at the atmospheric pressure is known as its boiling point. Boiling is a bulk phenomenon. Particles from the bulk of the liquid gain enough energy to change into the vapour state. For water this temperature is 373 K (100 0C = 273 + 100 = 373 K). Can you define the latent heat of vaporisation? Do it in the same way as we have defined the latent heat of fusion. Particles in steam, that is, water vapour at 373 K (1000 C) have more energy than water at the same temperature. This is because particles in steam have absorbed extra energy in the form of latent heat of vaporisation.
 Latent heat of vaporisation is the heat energy required to change 1 kg of a liquid to gas at atmospheric pressure at its boiling point.
 •
 Latent heat of fusion is the amount of heat energy required to change 1 kg of solid into liquid at its melting point. 11
 Latent heat of fusion is the amount of heat energy required to change 1 kg of solid into liquid at its melting point. 11
 "
The molecules of water have more energy as compared to molecules of ice at same temperature. Justify this statement. ,Water has more energy than ice at same temperature because particles in water have absorbed more energy during the change of state.  1,"higher than that of solids. This is due to the fact that in the liquid state, particles move freely and have greater space between each other as compared to particles in the solid state.
 You must have observed that the rate of evaporation increases with– • an increase of surface area: We know that evaporation is a surface phenomenon. If the surface area is increased, the rate of evaporation increases. For example, while putting clothes for drying up we spread them out. • an increase of temperature: With the increase of temperature, more number of particles get enough kinetic energy to go into the vapour state. • a decrease in humidity: Humidity is the amount of water vapour present in air. The air around us cannot hold more than a definite amount of water vapour at a given temperature. If the amount of water in air is already high, the rate of evaporation decreases. • an increase in wind speed: It is a common observation that clothes dry faster on a windy day. With the increase in wind speed, the particles of water vapour move away with the wind, decreasing the amount of water vapour in the surrounding. DOES EVAPORATION CAUSE
 COOLING?
 In an open vessel, the liquid keeps on evaporating. The particles of liquid absorb energy from the surrounding to regain the energy lost during evaporation. This absorption of energy from the surroundings make the surroundings cold.
 "
State one difference between gas and vapour.  1 Mark each,"Gas : It is a stable state as compared to vapour. e.g. O2 , H 2 . Vapour : It is an unstable state. On normal cooling vapour changes into liquid state. ","are some that change directly from solid state to gaseous state and vice versa without changing into the liquid state.
 "
The boiling point and freezing point of water are 100°C and 0°C respectively. Convert these temperatures in K. ,100°C + 273 = 373 K 0°C + 273 = 273 K ,"= 2450 N m-2.
 "
Why does palm of your hand feel cold when you pour some acetone on your palm ? ,It will evaporate taking latent heat of vaporization from the palm. The hand looses heat and gets cooled leaving temperature on hand low. ,"What happens when you pour some acetone (nail polish remover) on your palm? The particles gain energy from your palm or surroundings and evaporate causing the palm to feel cool. After a hot sunny day, people sprinkle water on the roof or open ground because the large latent heat of vaporisation of water helps to cool the hot surface. Can you cite some more examples from daily life where we can feel the effect of cooling due to evaporation? Why should we wear cotton clothes in summer? During summer, we perspire more because of the mechanism of our body which keeps us cool. We know that during evaporation, the particles at the surface of the liquid gain energy from the surroundings or body surface and change into vapour. The heat energy equal to the latent heat of vaporisation is absorbed from the body leaving the body cool. Cotton, being a good absorber of water helps in absorbing the sweat and exposing it to the atmosphere for easy evaporation.
 Evaporation causes cooling.
 •
 Latent heat of vaporisation is the heat energy required to change 1 kg of a liquid to gas at atmospheric pressure at its boiling point.
 Latent heat of vaporisation is the heat energy required to change 1 kg of a liquid to gas at atmospheric pressure at its boiling point.
 •
 Latent heat of fusion is the amount of heat energy required to change 1 kg of solid into liquid at its melting point. 11
 "
The boiling point of alcohol is 78°C. What is the corresponding temperature on the Kelvin scale ? ,78 + 273 = 351 K  1,"= 28 × 1 = 28 g
 "
Name the phenomenon of changing of a liquid into vapours at a temperature even below its boiling point. ,Evaporation. ,"Fig. 2.5: Evaporation
 "
"Kinetic energy of particles of water in three vessels A, B, C are EA, EB, and EC respectively and EA > EB > EC. Arrange the temperatures TA, TB and TC of water in the three vessels in increasing order. ",TC < TB < TA,"t=
 "
A rubber band can change its shape on stretching. Will you classify it as solid or not ? Justify your answer.  ,"Rubber band changes shape under force and regains the shape when the force is removed, so it is classified as a solid.","Solid
 "
What happens to the boiling point of a liquid when atmospheric pressure decreases ? ,Boiling point decreases because boiling point is the temperature at which vapour pressure of a liquid becomes equal to atmospheric pressure.,"Boiling is a bulk phenomenon. Particles from the bulk (whole) of the liquid change into vapour state.
 "
What happens to the melting point of ice when pressure is increased ? ,"When pressure is applied on the surface of ice, the change into liquid state is assisted. Thus, melting point decreases.","On increasing the temperature of solids, the kinetic energy of the particles increases. Due to the increase in kinetic energy, the particles start vibrating with greater speed. The energy supplied by heat overcomes the forces of attraction between the particles. The particles leave their fixed positions and start moving more freely. A stage is reached when the solid melts and is converted to a liquid. The minimum temperature at which a solid melts to become a liquid at the atmospheric pressure is called its melting point. The melting point of a solid is an indication of the strength of the force of attraction between its particles. The melting point of ice is 273.15 K*. The process of melting, that is, change of solid state into liquid state is also known as fusion. When a solid melts, its temperature remains the same, so where does the heat energy go? You must have observed, during the experiment of melting, that the temperature of the system does not change after the melting point is reached, till all the ice melts. This happens even though we continue to heat the beaker, that is, we continue to supply heat. This heat gets used up in changing the
 state by overcoming the forces of attraction between the particles. As this heat energy is absorbed by ice without showing any rise in temperature, it is considered that it gets hidden into the contents of the beaker and is known as the latent heat. The word latent means hidden. The amount of heat energy that is required to change 1 kg of a solid into liquid at atmospheric pressure at its melting point is known as the latent heat of fusion. So, particles in water at 00 C (273 K) have more energy as compared to particles in ice at the same temperature. When we supply heat energy to water, particles start moving even faster. At a certain temperature, a point is reached when the particles have enough energy to break free from the forces of attraction of each other. At this temperature the liquid starts changing into gas. The temperature at which a liquid starts boiling at the atmospheric pressure is known as its boiling point. Boiling is a bulk phenomenon. Particles from the bulk of the liquid gain enough energy to change into the vapour state. For water this temperature is 373 K (100 0C = 273 + 100 = 373 K). Can you define the latent heat of vaporisation? Do it in the same way as we have defined the latent heat of fusion. Particles in steam, that is, water vapour at 373 K (1000 C) have more energy than water at the same temperature. This is because particles in steam have absorbed extra energy in the form of latent heat of vaporisation.
 So, we infer that the state of matter can be changed into another state by changing the temperature. We have learnt that substances around us change state from solid to liquid and from liquid to gas on application of heat. But there
 "
What is a pure substance ?,A substance which is made up of only a single type of particle is called a pure substance.,"Have you ever noticed the word ‘pure’ written on the packs of these consumables? For a common person pure means having no adulteration. But, for a scientist all these things are actually mixtures of different substances and hence not pure. For example, milk is actually a mixture of water, fat, proteins etc. When a scientist says that something is pure, it means that all the constituent particles of that substance are the same in their chemical nature. A pure substance consists of a single type of particles. In other words, a substance is a pure single form of matter. As we look around, we can see that most of the matter around us exist as mixtures of two or more pure components, for example, sea water, minerals, soil etc. are all mixtures.
 evaporation. However, sodium chloride is itself a pure substance and cannot be separated by physical process into its chemical constituents. Similarly, sugar is a substance which contains only one kind of pure matter and its composition is the same throughout. Soft drink and soil are not single pure substances. Whatever the source of a pure substance may be, it will always have the same characteristic properties. Therefore, we can say that a mixture contains more than one pure substance.
 "
What are mixtures ?,"Mixtures are constituted by more than one kind of pure form of matter, i.e. pure substances.","2.1 What is a Mixture?
 •
 Mixtures are constituted by more than one kind of pure form of matter. We know that dissolved sodium chloride can be separated from water by the physical process of
 Mixtures are constituted by more than one kind of pure form of matter. We know that dissolved sodium chloride can be separated from water by the physical process of
 "
What is a substance ?,A substance is a kind of matter that cannot be separated into other kinds of matter by any physical process.,"Substance
 "
What are the constituents of milk ?,"Milk is a mixture of water, fat and proteins.","FROM MILK?
 "
"Which of the following is/are pure substance ? Ink, paper, water, milk, butter, ghee, sugar, blood.",Water and sugar.,"Sugar
 Minerals
 Water
 "
Name the two types of mixtures.,Homogeneous mixtures and heterogeneous mixtures.,"2.1 What is a Mixture?
 "
What is a homogeneous mixture ?,A mixture that has uniform composition throughout its mass is called a homogeneous mixture.,"2.1 What is a Mixture?
 •
 Mixtures are constituted by more than one kind of pure form of matter. We know that dissolved sodium chloride can be separated from water by the physical process of
 2. A mixture has a variable composition.
 "
What is a heterogeneous mixture ?,A mixture that does not have uniform composition throughout its mass is called a heterogeneous mixture.,"2. A mixture has a variable composition.
 "
Define a solution.,A homogeneous mixture of two or more substances is called a solution. 1 Mark each,"A mixture contains more than one substance (element and/ or compound) mixed in any proportion. Mixtures can be separated into pure substances using appropriate separation techniques. A solution is a homogeneous mixture of two or more substances. The major component of a solution is called the solvent, and the minor, the solute. The concentration of a solution is the amount of solute present per unit volume or per unit mass of the solution. Materials that are insoluble in a solvent and have particles that are visible to naked eyes, form a suspension. A suspension is a heterogeneous mixture. Colloids are heterogeneous mixtures in which the particle size is too small to be seen with the naked eye, but is big enough to scatter light. Colloids are useful in industry and daily life. The particles are called the dispersed phase and the medium in which they are distributed is called the dispersion medium. Pure substances can be elements or compounds. An element is a form of matter that cannot be broken down by chemical reactions into simpler substances. A compound is a substance composed of two or more different types of elements, chemically combined in a fixed proportion. Properties of a compound are different from its constituent elements, whereas a mixture shows the properties of its constituting elements or compounds. 27
 "
Give an example of a liquid in liquid type solution.,Vinegar .,"Put dried raisins or apricots in plain water and leave them for some time. Then place them into a concentrated solution of sugar or salt. You will observe the following: (a) Each gains water and swells when placed in water. (b) However, when placed in the concentrated solution it loses water, and consequently shrinks.
 "
Give an example of a solid in liquid solution.,A solution of sugar and water.,"Solution:
 "
Give an example of a solid solution.,Brass . 1,"Zinc
 "
Give an example of a gas in liquid solution.,Aerated drinks like soda water.,"Liquids Water (Sea) Water (distilled) Ethanol Methanol
 "
Define concentration of a solution.,It indicates the exact amount of solute dissolved in an exact amount of solvent or solution.,"A solution has a solvent and a solute as its components. The component of the solution that dissolves the other component in it (usually the component present in larger amount) is called the solvent. The component of the solution that is dissolved in the solvent (usually present in lesser quantity) is called the solute.
 "
What is solubility ?,Solubility of a substance  is the mass of the substance in grams that dissolves in 100 g of a solvent to form a saturated solution.,"Example 2.1 A solution contains 40 g of common salt in 320 g of water. Calculate the concentration in terms of mass by mass percentage of the solution. Solution: Mass of solute (salt) = 40 g Mass of solvent (water) = 320 g We know, Mass of solution = Mass of solute + Mass of solvent = 40 g + 320 g = 360 g Mass percentage of solution =
 =
 Mass of solute Mass of solution
 Mass of solute Mass of solution
 "
What is a saturated solution ?,A solution is said to be saturated if no more of solute can be dissolved in it at a given temperature and pressure.,"Is the amount of salt and sugar or barium chloride, that can be dissolved in water at a given temperature, the same? At any particular temperature, a solution that has dissolved as much solute as it is capable of dissolving, is said to be a saturated solution. In other words, when no more solute can be dissolved in a solution at a given temperature, it is called a saturated solution. The amount of the solute present in the saturated solution at this temperature is called its solubility. If the amount of solute contained in a solution is less than the saturation level, it is called an unsaturated solution. What would happen if you were to take a saturated solution at a certain temperature and cool it slowly. We can infer from the above activity that different substances in a given solvent have different solubilities at the same temperature. The concentration of a solution is the amount (mass or volume) of solute present in a given amount (mass or volume) of solution. There are various ways of expressing the concentration of a solution, but here we will learn only three methods. (i) Mass by mass percentage of a solution Mass of solute = ×100 Mass of solution
 "
What is a suspension ?,It is a heterogeneous mixture in which the solute particles do not dissolve and remain suspended throughout the liquid.,"A mixture contains more than one substance (element and/ or compound) mixed in any proportion. Mixtures can be separated into pure substances using appropriate separation techniques. A solution is a homogeneous mixture of two or more substances. The major component of a solution is called the solvent, and the minor, the solute. The concentration of a solution is the amount of solute present per unit volume or per unit mass of the solution. Materials that are insoluble in a solvent and have particles that are visible to naked eyes, form a suspension. A suspension is a heterogeneous mixture. Colloids are heterogeneous mixtures in which the particle size is too small to be seen with the naked eye, but is big enough to scatter light. Colloids are useful in industry and daily life. The particles are called the dispersed phase and the medium in which they are distributed is called the dispersion medium. Pure substances can be elements or compounds. An element is a form of matter that cannot be broken down by chemical reactions into simpler substances. A compound is a substance composed of two or more different types of elements, chemically combined in a fixed proportion. Properties of a compound are different from its constituent elements, whereas a mixture shows the properties of its constituting elements or compounds. 27
 "
What is a colloidal solution ?,It is a heterogeneous mixture in which the size of the solute particles is between 1 nm  to 100 nm. IS MATTER AROUND US PURE ?,"IS MATTER AROUND US PURE?
 "
Why can’t we see the colloidal particles with naked eyes ?,"Because their size ranges from 1 nm to 100 nm, hence we can’t see such small particles with naked eyes.","SMALL ARE THESE PARTICLES
 "
What is a gel ?,"It is a colloidal solution of a liquid in solid. e.g. butter, cheese etc.","A colloid is a heterogeneous mixture. The size of particles of a colloid is too small to be individually seen by naked eyes. Colloids are big enough to scatter a beam of light passing through it and make its path visible. They do not settle down when left undisturbed, that is, a colloid is quite stable.
 "
What is an emulsion ?,A colloidal solution of two immiscible liquids is called an emulsion. e.g. milk.,"Emulsion
 "
Name the three types of elements.,"Metals, non-metals and metalloids.","Table 3.3 : Atomicity of some elements Type of Element Non-Metal
 "
Which metal is liquid at room temperature ?,Mercury.,"Neon
 Ne
 Zinc
 "
Name the substance that is composed of atoms of different elements in a fixed proportion.,Compound.,"Compounds
 1. Elements or compounds just mix together to form a mixture and no new compound is formed.
 "
"Calculate the net force acting on a bus boarded with passenger, of mass 2000 kg moving with a uniform velocity of 60 km/hr. ","Since velocity is uniform, acceleration will be zero therefore net force is zero.   1","8.3 Rate of Change of Velocity During uniform motion of an object along a straight line, the velocity remains constant with time. In this case, the change in velocity of the object for any time interval is zero. However, in non-uniform motion, velocity varies with time. It has different values at different instants and at different points of the path. Thus, the change in velocity of the object during any time interval is not zero. Can we now express the change in velocity of an object?
 "
"If a balloon filled with air and its mouth untied, the air is released from its mouth in the downward direction, and balloon moves upwards. Identify action and reaction in this case.  1 Mark each",Release of air in downward direction is action. Movement of balloon in upward direction is reaction.  1,"Lift an object up. Work is done by the force exerted by you on the object. The object moves upwards. The force you exerted is in the direction of displacement. However, there is the force of gravity acting on the object. Which one of these forces is doing positive work? Which one is doing negative work? Give reasons.
 "
"In a tug of war, the rope does not move in any direction. Why ? ",Because the forces applied by the two teams are equal and opposite.  1,"9.5 Third Law of Motion The first two laws of motion tell us how an applied force changes the motion and provide us with a method of determining the force. The third law of motion states that when one object exerts a force on another object, the second object instantaneously exerts a force back on the first. These two forces are always equal in magnitude but opposite in direction. These forces act on different objects and never on the same object. In the game of football sometimes we, while looking at the football and trying to kick it with a greater force, collide with a player of the opposite team. Both feel hurt because each applies a force to the other. In other words, there is a pair of forces and not just one force. The two opposing forces are also known as action and reaction forces. Let us consider two spring balances connected together as shown in Fig. 9.10. The fixed end of balance B is attached with a rigid support, like a wall. When a force is applied through the free end of spring balance A, it is observed that both the spring balances show the same readings on their scales. It means that the force exerted by spring balance A on balance B is equal but opposite in direction to the force exerted by the balance B on balance A. Any of these two forces can be called as action and the other as reaction. This gives us an alternative statement of the third law of motion i.e., to every action there is an equal and opposite reaction. However, it must be remembered that the action and reaction always act on two different objects, simultaneously.
 Fig. 9.10: Action and reaction forces are equal and opposite.
 Fig. 9.10: Action and reaction forces are equal and opposite.
 "
Name the force which is responsible for change in position or state of an object. ,Unbalanced forces. ,"9.1 Balanced and Unbalanced Forces
 "
Rakesh tries to push a box on a rough floor but is unable to move it. Name the force which balances the force applied by him.,Force of friction. 1,"FORCE
 "
Given below are some measuring units of different physical quantities :,Water is ejected from a hose with a large amount of force . Hence as per Newton’s III law there will be an equal and opposite force on the hose pipe making it difficult to hold. ,"Take an empty plastic bottle. Close the mouth of the bottle with an airtight stopper. Put it in a bucket filled with water. You see that the bottle floats. Push the bottle into the water. You feel an upward push. Try to push it further down. You will find it difficult to push deeper and deeper. This indicates that water exerts a force on the bottle in the upward direction. The upward force exerted by the water goes on increasing as the bottle is pushed deeper till it is completely immersed. Now, release the bottle. It bounces back to the surface. Does the force due to the gravitational attraction of the earth act on this bottle? If so, why doesn’t the bottle stay immersed in water after it is released? How can you immerse the bottle in water?
 The force due to the gravitational attraction of the earth acts on the bottle in the downward direction. So the bottle is pulled downwards. But the water exerts an upward force on the bottle. Thus, the bottle is pushed upwards. We have learnt that weight of an object is the force due to gravitational attraction of the earth. When the bottle is immersed, the upward force exerted by the
 The force due to the gravitational attraction of the earth acts on the bottle in the downward direction. So the bottle is pulled downwards. But the water exerts an upward force on the bottle. Thus, the bottle is pushed upwards. We have learnt that weight of an object is the force due to gravitational attraction of the earth. When the bottle is immersed, the upward force exerted by the
 water on the bottle is greater than its weight. Therefore it rises up when released. To keep the bottle completely immersed, the upward force on the bottle due to water must be balanced. This can be achieved by an externally applied force acting downwards. This force must at least be equal to the difference between the upward force and the weight of the bottle. The upward force exerted by the water on the bottle is known as upthrust or buoyant force. In fact, all objects experience a force of buoyancy when they are immersed in a fluid. The magnitude of this buoyant force depends on the density of the fluid.
 "
Give one point of difference between balanced and unbalanced forces. ,"When forces acting on a body from all sides are equal, they cancel effect of each other and are known as balanced forces. On the other hand, when forces acting on a body are not equal/do not cancel each other are called unbalanced forces. 1 ","9.1 Balanced and Unbalanced Forces
 box with a small force, the box does not move because of friction acting in a direction opposite to the push [Fig. 9.4(a)]. This friction force arises between two surfaces in contact; in this case, between the bottom of the box and floor’s rough surface. It balances the pushing force and therefore the box does not move. In Fig. 9.4(b), the children push the box harder but the box still does not move. This is because the friction force still balances the pushing force. If the children push the box harder still, the pushing force becomes bigger than the friction force [Fig. 9.4(c)]. There is an unbalanced force. So the box starts moving. What happens when we ride a bicycle? When we stop pedalling, the bicycle begins to slow down. This is again because of the friction forces acting opposite to the direction of motion. In order to keep the bicycle moving, we have to start pedalling again. It thus appears that an object maintains its motion under the continuous application of an unbalanced force. However, it is quite incorrect. An object moves with a uniform velocity when the forces (pushing force and frictional force) acting on the object are balanced and there is no net external force on it. If an unbalanced force is applied on the object, there will be a change either in its speed or in the direction of its motion. Thus, to accelerate the motion of an object, an unbalanced force is required. And the change in its speed (or in the direction of motion) would continue as long as this unbalanced force is applied. However, if this force is
 Fig. 9.3 shows a wooden block on a horizontal table. Two strings X and Y are tied to the two opposite faces of the block as shown. If we apply a force by pulling the string X, the block begins to move to the right. Similarly, if we pull the string Y, the block moves to the left. But, if the block is pulled from both the sides with equal forces, the block will not move. Such forces are called balanced forces and do not change the state of rest or of motion of an object. Now, let us consider a situation in which two opposite forces of different magnitudes pull the block. In this case, the block would begin to move in the direction of the greater force. Thus, the two forces are not balanced and the unbalanced force acts in the direction the block moves. This suggests that an unbalanced force acting on an object brings it in motion.
 "
Why does the sole of the shoe wears out ? ,Sole of the shoe wears out due to friction between sole of the shoes and earth’s surface. ,"The nail sinks. The force due to the gravitational attraction of the earth on the iron nail pulls it downwards. There is an upthrust of water on the nail, which pushes it upwards. But the downward force acting on the nail is greater than the upthrust of water on the nail. So it sinks (Fig. 10.5).
 "
State the meaning of recoil velocity of a gun ? ,"Force of friction.  1 kg - ms-2, ms-2, kg - ms-1, ms-1, kg - m2 s-2. Select the units which measure force and momentum respectively.","Here a [ = (v – u)/t ] is the acceleration, which is the rate of change of velocity. The quantity, k is a constant of proportionality. The SI units of mass and acceleration are kg and m s-2 respectively. The unit of force is so chosen that the value of the constant, k becomes one. For this, one unit of force is defined as the amount that produces an acceleration of 1 m s-2 in an object of 1 kg mass. That is, 1 unit of force = k × (1 kg) × (1 m s-2). Thus, the value of k becomes 1. From Eq. (9.3) (9.4)
 F = ma -2
 The unit of force is kg m s or newton, which has the symbol N. The second law of 119
 "
Why are the athletes in a high jump event made to fall either on a cushioned bed or on a sand bed ? ,To reduce the rate of change of momentum and hence the force.  1,"change the momentum of an object depends on the time rate at which the momentum is changed. The second law of motion states that the rate of change of momentum of an object is proportional to the applied unbalanced force in the direction of force.
 "
"During the game of table tennis, if the ball hits a player it does not hurt him. On the other hand when a fast moving cricket ball hits a spectator it may hurt him. State the reason. ",Changing in speed/change of direction/change of shape.  1 ,"Change in velocity
 "
"State two effects, a force can produce in a non rigid body fixed at a position. ",Change its shape and size. ,"Change in
 "
"State an example, how force can change velocity of a body. ",The momentum of a cricket ball is larger than a table tennis ball so it hurts the spectator. ,"Fig. 12.1: Vibrating tuning fork just touching the suspended table tennis ball.
 "
Velocity-time graph of a moving particle of mass 1 kg is shown in figure. Vel ocit y ,Acceleration becomes half. ,"change in velocity acceleration =
 "
Mention any two kinds of changes that can be brought about in a body by force. ,"Acceleration = 0, F = ma. So, F = 0, force acting is zero.  1","Let two objects A and B of masses M and m lie at a distance d from each other as shown in Fig. 10.2. Let the force of attraction between two objects be F. According to the universal law of gravitation, the force between two objects is directly proportional to the product of their masses. That is, (10.1) F∝M × m And the force between two objects is inversely proportional to the square of the distance between them, that is, F∝
 "
A force is applied on a metal block lying on floor in one direction. Still the block does not move. Name the force which is balancing it. ,Force of friction between metal surface and floor.  1,"Fig. 9.3: Two forces acting on a wooden block
 "
Find the acceleration produced by a force of 12 N exerted on an object of mass 3 kg. ,"F = ma ⇒ 12 = 3 × a, a = 12/3 = 4 m/s2. ","= (12 m s–1 ) × (2 s) +
 "
What is the net momentum of gun and bullet system after firing ? ,"The momentum of gun and bullet system after firing is equal to initial momentum, i.e., zero, because no external force is acting.","Total momenta of the pistol and bullet before the fire, when the gun is at rest = (2 + 0.02) kg × 0 m s–1 = 0 kg m s–1 Total momenta of the pistol and bullet after it is fired = 0.02 kg × (+ 150 m s–1) + 2 kg × v m s–1 = (3 + 2v) kg m s–1 According to the law of conservation of momentum Total momenta after the fire = Total momenta before the fire 3 + 2v = 0 ⇒ v = − 1.5 m s–1. Negative sign indicates that the direction in which the pistol would recoil is opposite to that of bullet, that is, right to left.
 "
A body accelerates when balanced force acts on it. Is it true or false ? Why ?,"It is false because momentum of a body changes only when, an unbalanced force acts on it.","The rate of change of momentum ∝
 "
Give an example where object is at rest and also in motion at the same time. ,A passenger travelling in a bus is at rest with respect to fellow passengers but it is in motion with respect to the bus.,"impact or collision with the panels in front. Safety belts are worn to prevent such accidents. Safety belts exert a force on our body to make the forward motion slower. An opposite experience is encountered when we are standing in a bus and the bus begins to move suddenly. Now we tend to fall backwards. This is because the sudden start of the bus brings motion to the bus as well as to our feet in contact with the floor of the bus. But the rest of our body opposes this motion because of its inertia. When a motorcar makes a sharp turn at a high speed, we tend to get thrown to one side. This can again be explained on the basis of the law of inertia. We tend to continue in our straight-line motion. When an unbalanced force is applied by the engine to change the direction of motion of the motorcar, we slip to one side of the seat due to the inertia of our body. The fact that a body will remain at rest unless acted upon by an unbalanced force can be illustrated through the following activities:
 "
Give an example of a motion in which acceleration is non-uniform. ,A car travelling in a straight road increases its speed by unequal amounts in equal intervals of time.,"Example 11.4 What is the work to be done to increase the velocity of a car from 30 km h–1 to 60 km h–1 if the mass of the car is 1500 kg? Solution: Mass of the car, m =1500 kg, initial velocity of car, u = 30 km h–1 30 × 1000 m 60 × 60 s
 "
Give an example of a motion in which acceleration is in the direction of motion of an object. 1 Mark each,A freely falling object.  1,"OF OBJECTS UNDER THE
 "
An ant travels from P to Q and then moves from Q to R . Show its resultant displacement in the diagram. ,Average speed =  /  =  1,"Average speed =
 = 13.9 m s The average speed of the car is 50 km h–1 or 13.9 m s–1.
 Example 8.3 Usha swims in a 90 m long pool. She covers 180 m in one minute by swimming from one end to the other and back along the same straight path. Find the average speed and average velocity of Usha. Solution: Total distance covered by Usha in 1 min is 180 m. Displacement of Usha in 1 min = 0 m Total distance covered
 Average speed =
 "
Does the speedometer of a car measure its average speed ? ,No. It measures its instantaneous speed.,"8.2 Measuring the Rate of Motion
 "
"A person standing at A goes to B by following any of the paths 1, 2, or 3. Which path we can measure to find the average velocity ? ",Path 1.  1,"1
 1
 "
What is motion ?,A body is said to be in motion if it changes its position with respect to a reference point.,"MOTION
 "
How do we often perceive an object to be in motion ?,When its position changes with time.,"FOR POSITION - TIME
 "
